什么样的路不能走?... 答案：电路
楚楚的生日在三月三十日，请问是哪年的三月三十日 答案：每年的三月三十日 
有种动物，大小像只猫，长相又像虎，这是什么动物 答案：小老虎 
猴子每分钟能掰一个玉米，在果园里，一只猴子５分钟能掰几个玉米 答案：一个也没有掰到 
小红口袋里原有１０个铜钱，但它们都掉了，请问小红口袋里还剩下什么 答案：还剩下一个洞 
世上什么东西比天更高 答案：心比天高 
什么贵重的东西最容易不翼而飞 答案：人造卫星 
三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间 答案：三分钟 
一个伟大的人和一只伟大的狮子同一天诞生，有什么关系？ 答案：没关系 
醉鬼是什么人？ 答案：宣布自己没醉的人 
当地球爆炸时，什么地方最安全 答案：地猴 
哪一件衣服最耐穿？ 答案：最不喜欢的那件 
法王路易十四被砍头后他的儿子当了什么？ 答案：孤儿 
世界上什么没有标价？ 答案：情意 
小云和阿花已经结婚了，为什么他们还偷偷摸摸的约会呢？ 答案：他们分别是和别人约会 
一个人什么“地方”能大能小？ 答案：心眼儿 
一年前的元月一日，所有的人都在做着一件非常重要的事，你记得是什么事吗？ 答案：都在呼吸 
小王跑步为什么总是保持一个姿势不变？ 答案：因为他在照片中 
左看像电风扇，右看像电风扇，虽然像电风扇，就是不会转，请问这究竟是什么？ 答案：停电的电风扇 
什么情况下，每个人都会主动地发挥赴汤蹈火精神？ 答案：吃火锅的时候 
3个人3天用3桶水，9个人9天用几桶水 答案：九 
为什么有一个人经常从十米高的地方不带任何安全装置跳下 答案：跳水运动员 
小王因工作需要常交际应酬，虽然每天都很早回家，可妻子还是抱怨不断，这为什么 答案：他每天凌晨回家 
有一只蜗牛从新疆维吾尔自治区爬到海南省为什么只需三分钟 答案：它在地图上爬 
一个不会游泳的人掉进了水里却没有淹死，为什么 答案：穿着救生衣 
车祸发生不久，第一批警察就赶到了现场，他们发现司机完好无损，翻覆的车子内外血迹斑斑，却没有见到死者和伤者，而这里是荒郊野外，并无人烟，这是怎么回事 答案：因为这是一辆献血车 
哪种人希望孩子越多越好？ 答案：儿童用品制造高 
一个人死前要做的最后一件事是什么？ 答案：咽下最后一口气 
为什么刘备三顾茅庐，诸葛亮才肯见他？ 答案：因为前两次没带礼 
小王说他会在太阳和月亮永远在一起的时候去旅行，你说可能吗？ 答案：可能是明天 
古时候没有钟，有人养了一群鸡,可是天亮时，没有一只鸡给他报晓。这是为什么？ 答案：他养了一群母鸡 
老张是出了名的拳手，为什么一戴上拳击手套反而让对手三下两下打下台去了？ 答案：他是划酒拳的高手 
远东百货遭小偷，警察立刻封锁住所有出口，但为什么小偷仍逃了出去，为什么？ 答案：小偷可以从入口逃走呀 
你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么 答案：做梦 
明明是个近视眼，也是个出名的馋小子，在他面前放一堆书，书后放一个苹果，你说他会先看什么 答案：什么都看不见 
太太吃完饭后向先生要火柴，先生殷勤地掏出名牌打火机，却被太太瞪了一眼，为什么？ 答案：打火机怎么能剔牙齿呢 
永远都没有终结的事是什么？ 答案：问题 
世界上最洁净的“球”是什么球？ 答案：卫生球 
每个人都最爱的人是谁？ 答案：自己 
一个手无寸铁的人钻进了狮子笼里，为什么太平无事？ 答案：狮子笼是空的 
比黄金更容易招引盗贼的东西是什么？ 答案：美貌 
老陈买的明明是真药而不是假药，为什么会被判重刑？ 答案：他走私军火 
有一个海没有一滴水。是什么海？ 答案：辞海 
为什么只看过“小说”，没看过“大说”？ 答案：因为大说已逝世 
新版的纸币，竟然印得不一样，为什么？ 答案：号码不一样 
有一种牛皮最容易被戳穿，那是什么牛皮？ 答案：吹牛皮 
黑人不必担心哪一件事？ 答案：晒黑 
一个四脚朝天，一个四脚朝地，一个很痛苦，一个很高兴，这是在干什么 答案：猫捉老鼠 
黄河的源头在哪儿？ 答案：天上,黄河之水天上来. 
装模作样的人成功的途径是什么？ 答案：滥竽充数 
住在什么样的家里，脚不出家门就可以上班工作？ 答案：国家 
什么样的河人们永远也渡不过去？ 答案：银河 
卖水的人看到河会怎么想？ 答案：这些都是钱 
从事什么职业的人容易在短时间反复改变主意？ 答案：列队的教官 
流浪了50多年的流浪汉，有一天突然不流浪了，为什么？ 答案：他死了 
老王天天掉头发，什么办法都用了，只有一种办法使他永远不掉头发。是什么办法呢？ 答案：剃光 
什么动物在天上是4只脚，在地上是2只脚，在水里是3只脚？ 答案：怪物 
买一双高级女皮鞋要214元5角6分钱，请问买一只要多少钱？ 答案：一只不卖 
一艘五十万吨的油轮沉没了，最先浮出水面的是什么？ 答案：空气 
为什么罗丹雕塑的作品“沉思者”没有穿衣服？ 答案：他正在想穿那件衣服好看 
什么东西破裂之后，即使最精密的仪器也找不到裂纹？ 答案：感情 
什么事情，只能用一只手去做？ 答案：剪自己的手指甲 
什么房子失了火却不见有人跑出来 答案：太平间 
家里又脏又乱，怎样才能在最短时间内弄干净？ 答案：闭上眼睛眼不见为净 
什么地方能出生入死？ 答案：医院 
在布匹店,买不到什么布 答案：松赞干布 
什么东西不能用放大镜放大？ 答案：角度 
少女们的偶像如果不幸因车祸而成了植物人，那么影迷们会怎样呢？ 答案：帅呆了 
既没有生孩子、养孩子也没有认干娘，还没有认领养子养女就先当上了娘，请问：这是什么人 答案：新郎 
阿里巴巴和四十大盗的故事是东方夜谭还是西方夜谭 答案：都不是天方夜谭 
黑人和白人生下的婴儿，牙齿是什么颜色的 答案：婴儿还没有长牙齿 
为什么老王家的马能吃掉老张家的象 答案：因为他们正在下象棋 
为什么女人穿高跟鞋后，就代表她快结婚了 答案：因为穿高跟鞋慢很容易被男人追上 
老高骑自行车骑了十公里，但周围的景物始终没有变化。为什么 答案：他骑的是室内健身车 
六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理 答案：妈妈让爸爸修理小明 
哪一种人最容易走极端？ 答案：爱基斯摩人 
狼来了——猜一水果名 答案：杨桃 
为什么警察要系白皮带？ 答案：不系皮带裤子会掉下来 
世界上最高的峰叫什么峰？ 答案：高峰 
一个圆有几个面？ 答案：两个面一个外面一个里面 
为什么结婚要请客吃饭，办丧事也要请客吃饭？ 答案：前面宣布家里多了一个人吃饭后面宣布家里少了一个人吃 
怎样使用最简单的方法使X+I=IX等式成立？ 答案：1+X 
此字不难猜，孔子猜三天，请问是何字？ 答案：晶 
什么时候4-3=5？ 答案：算错时 
蛇为什么要脱皮？ 答案：因为皮在痒 
教室中为什么要有讲台？ 答案：提高老师的地位 
为什么冲天炮射不到星星？ 答案：因为星星会闪呀 
此字不难猜，而且不分开。请问是何字？ 答案：面 
在餐厅中吃完饭发现没带钱，怎么办？ 答案：刷卡或吃赊帐 
选美大赛--猜一国家名 答案：以色列 
蓝色的笔能写出红字吗？ 答案：写个红字当然可以 
人体最大的器官是什么？ 答案：胆胆大包天. 
一个挂钟敲六下要30秒，敲12下要几秒？ 答案：66秒 
请问英语有多少个字母？ 答案：没有字母是中文 
老王从九岁开始有虫牙，为什么90岁时他的牙都还在？ 答案：虫早已换掉 
为什么胖的人比瘦的人怕晒？ 答案：晒的面积比较大 
借什么可以不还 答案：借光 
刚起飞的飞机突然冒烟掉在地上，为什么没人受伤 答案：所有人都死了 
什么时候有人敲门，你绝不会说请进 答案：在厕所里的时候 
梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了 答案：生了一堆毛毛虫 
什么东西可以死很多次，而且一般情况下每次死的时间不超过1分钟？ 答案：死机 
有甲、乙、丙三人跳伞，甲乙有带伞，丙则无，但后来反而丙没事，甲乙都有事，为什么？ 答案：甲乙为丙办丧 
世界上什么东西以近2000公里小时的速度载着人奔驰,而不必加油或其它燃料 答案：地球 
考试做判断题，小花掷骰子决定答案，但题目有20题，为什么他却扔了40次？ 答案：他要验证一遍 
一把11厘米长的尺子，可否只刻3个整数刻度，即可用于量出1到11厘米之间的任何整数厘米长的物品长度？如果可以，问应刻哪几个刻度？ 答案：可以.刻度可位于2,7,8处. 
世界上任何地方找不出如此便宜的住所是什么地方？ 答案：牢房 
如果核战爆发，你认为哪两个地方会人满为患？ 答案：地猴和天堂 
浪费掉人的一生的三分之一时间的会是什么东西？ 答案：床 
什么马不会跑？ 答案：木马 
整天整天在大街上逛悠并且特爱“管闲事”的家伙是谁？ 答案：交通警 
为什么离婚的人越来越多？ 答案：因为结婚的越来越多 
如果不辛得了狂犬病，你第一件事要做什么？ 答案：列张仇人名单 
为什么有人说：世界上分配得最公平的东西是“良心”？ 答案：你说过有人说自己没有良心了吗 
你知道一个人的小腿应该有多长？ 答案：应该长到碰着地面 
你有一艘船，船上有十五位船员，六十位乘客，三百吨货物。你能根据上面的提示，算出船主的年龄吗 答案：你就是船主年龄还需要算吗? 
小王在市区租了一间房子，租约上注明若不慎引起火灾，烧毁了房子，必须赔偿三百万元。小王不但不反对，甚至还主动多填了一个零，为什么？ 答案：反正都赔不起 
你在一年半的时间都不会说话，这段时间你在干什么？ 答案：刚出生在哭 
有一种活动能够准确无误地告诉你：美人不是天生长出来的，而是七嘴八舌说出来的，这是什么活动？ 答案：选美 
你怎么区分东南西北？ 答案：很简单加顿号 
在什么样的情况之下，手推车前有人推，后有人拉，但还是会向前进？ 答案：下坡的时候 
有三个小朋友在猜拳，，一个出剪刀，一个出石头，一个出布，请问三个人共有几根指头？ 答案：六十 
我常带着我的狗去晨跑，累得我和它都满头大汗，为什么？ 答案：你见过狗满头大汗吗 
晶晶一下子就破了跳高记录，是怎么做到的呢？ 答案：她从杆子底下走过去的 
当你捏住你的鼻子是，你会看不到什么呢？ 答案：当然是你自己的鼻子 
可以天天躺在枕头上工作一辈子的是什么？ 答案：铁轨 
有一样的东西能托起五十公斤的橡木，却容不下五十公斤的沙，你知道是什么吗？ 答案：水 
书呆子买了一本书，第二天他妈妈却发现书在脸盆里，为什么？ 答案：他认为那本书太枯燥了 
小胖在从图书馆回家的计程车上睡着了。突然他一觉醒来，发现前座的司机先生不见了，而车子却仍然在往前进，为什么？ 答案：车子执锚了,司机正在后面推车. 
塑料袋里有六个橘子，如何均分给三个小孩，而塑料袋里仍有二个橘子？（不可以分开橘子） 答案：当然是一个人两个桔子,只是一个连塑料袋一起给他. 
王大婶有三个儿子，这三个儿子又各有一个姐姐和妹妹，请问王大婶共有几个孩子？ 答案：五个 
神偷“妙手空空”把附近一些有钱人家的金银珠宝偷得一干二净，为什么唯独一家既无防盗设备，也无保全人员的财主没受到光顾？ 答案：他自己的家 
有一个家伙上身穿着棉袄，下身穿着短裤，左手拿着冰可乐，右手端着热咖啡，每天坐在火炉旁，却又开着冷气，请问他到底是什么人？ 答案：神经病 
爸爸要小明背论语，他一分钟就背了整本书，难道小明是天才吗？ 答案：不因为他只背了论语. 
老古家遭小偷，损失惨重，但当警方通知破案是，老古却送慰问品去看那名窃贼，为什么？ 答案：他想请教如何在半夜回家而不把老婆吵醒的秘法 
班长告诉菜鸟，当拉开手榴弹的保险之后，口中先数五秒再投掷出去，菜鸟一切都按班长指示动作，但仍被炸死了，为什么？ 答案：因为菜鸟有口吃 
什么虎会吓人但并不吃人？ 答案：壁虎 
电话声大作，却不见小华和哥哥去接电话，这是怎么回事？ 答案：因为那是电视广告 
阿陈为什么不能把赌博一次戒掉？ 答案：因为戒了右手还有左手呀 
艳阳高照，为什么只有小可全身湿淋淋的？ 答案：因为他正在游泳呀 
大雄练就了“吃西瓜不吐子”的绝招，到底他是怎么练成的？ 答案：吃得是无子西瓜呀 
一朵插在牛粪上的鲜花是什么花？ 答案：牵牛花 
小秦买了一辆全新的跑车，却不能开上马路，这是为什么？ 答案：他买的是玩具跑车 
堂堂的中央图书馆，却没有明版的“康熙字典”，这是为什么？ 答案：康熙字典是清朝人编的 
老师和牧师有一个共同点，你知道是什么吗？ 答案：同样拥有让人睡觉的功夫 
从前大家都怕“大哥大”，现在却喜欢“大哥大”，到底怎么回事？ 答案：大哥大电话谁不喜欢 
做什么事睁一只眼，闭一只眼比较好？ 答案：照相的 
奶奶非常疼爱她养的那头猫，当猫咪生日那天，她特地准备了五个各放了一条鱼的盘子，为它祝贺。猫咪走到盘子前，犹豫了一会儿，然后把第三个盘子里的鱼吃掉了，为什么？ 答案：它高兴 
中国人为什么人口这么多？ 答案：因为汉(和)人在一起. 
女儿第一次参加舞会，妈妈最担心什么？ 答案：与狼共舞 
每个怀孕的女人都常常会去想象孩子未来的长相，为什么只有阿美例外 答案：她到现在还没有想起来他爸爸长得什么样 
猪皮是用来作什么的呢？ 答案：包猪肉用的 
100公斤的胖妹听说骑马可以减肥，便去试，你猜结果如何？ 答案：马瘦子十公斤 
小虎从“武术大全”这本书上学得一身好功夫，但是第一次路见不平就被修理了一顿，为什么？ 答案：他看的是盗印版 
为什么小明拒绝用“一边……一边……”这个词来造句？ 答案：老师不是说"一心不能二用"嘛. 
在什么情况之下24和44不会约为成最简分数？ 答案：写在五线谱上面 
小吴称赞女朋友的新衣服“十分漂亮”，但却被女友打了一顿，为什么？ 答案：满分是一百分 
母亲节那天，你如果不想让母亲洗碗，又不想自己动手的话，你该怎么办？ 答案：跟她说:"妈留着明天洗吧." 
一只田鼠在挖洞时并没有在洞口四周留下泥堆，为什么？ 答案：因为他先挖出口 
阿忠结婚好几年了，却没生下一个孩子，这是为什么？ 答案：他生的是双胞胎 
有一位律师，他自己有了婚变，却站在太太的立场，免费担任太太的辩护律师，并且帮助她向丈夫要求更多的赡养费，最后这律师却没有任何损失，为什么？ 答案：因为这个律师正是那个太太 
老师出了一道作文，题目是“假如我是个董事长”，同学都用心在写，为什么小强不动手？ 答案：他在等秘书替他写 
小丽身上只有五百元，下班后却和同事跑到百货公司疯狂购物，花了五千元，她是怎么做到的？ 答案：他用信用卡 
什么东西要藏起来暗地里用，用完之后再暗地里交给别人？ 答案：软片 
森林里有一条眼镜蛇，可是它从来不咬人，你知道为什么吗？ 答案：因为那森林里没有人 
为什么老李喜欢和自己的老婆和孩子一起打麻将？ 答案：只有这样才能回收一部分薪水 
明明是放砂糖的罐子，却贴着一张写着“盐”的标签，你知道作用何在？ 答案：骗蚂蚁 
戒烟为什么要戒两次呢？ 答案：戒了右手还是戒左手 
如果你生出来的儿子只有一只右手你会怎么办？ 答案：怕什么他不是还有一只左手嘛 
什么车最不可能发生车祸？ 答案：灵车 
常把手伸向别人包里的人，为什么却不是小偷？ 答案：海关检查员 
美玲每晚都出去梦游，为什么她的丈夫不带她去医院治疗呢？ 答案：她每回梦游回来都带回来两千元 
世界上哪一种鸭蛋不能吃，煮不熟，却打得破？ 答案：比赛成绩的鸭蛋. 
老王是个酒鬼，有一天他去看医生，医生警告他喝酒一次不可超过4杯，为什么老王还是不怕，一次喝了8杯呢？ 答案：因为他连续看了两次医生 
有一间屋子的北边有肥料厂，南边有酒厂，它有项优点，你知道是什么吗？ 答案：只要一开窗子就能知道什么风 
小虎的机车既没有锁，也没有违规，但是仍然被锁上了，为什么？ 答案：不知道那个迷糊蛋锁错了 
明明是个“错”字，为什么小华却偏偏说要“对”？ 答案：的确是个"错"字呀 
三个人一起下田，但其中一个人却老站在那里不动手，为什么？ 答案：那是个稻草人 
外国人问路，小明拼命有英语对他说，他却一点也听不懂，这是为什么？ 答案：因为他是法国人 
福尔摩斯花了半天时间，却查不出命案现场有任何线索及目击者，但他随即就宣布破案了，为什么？ 答案：因为凶手自首了 
气候突然转冷，一只鸵鸟决定南迁，请问它头向南，尾朝北，而爪子该朝向哪一方呢？ 答案：鸵鸟不会飞 
小杰最爱吹牛，但是为什么他说大家都说他讲话很实在？ 答案：那是他自己说的 
经理想写封信给太太，于是口述由女秘书代笔。写好之后，经理却发现漏了最后一句：“我爱你。”为什么？ 答案：女秘书以为是对她说的 
天上有十个太阳，为什么后翼只射下九个？ 答案：他不想摸黑回家 
什么时候，我们会目中无人？ 答案：半夜我们一个人走在墓地 
谁会连续摇头半个小时以上？ 答案：看球赛的 
考一个亲戚称呼问题，如果你曾祖父的儿子，就是娶了你妈妈的那个人，你应该叫他什么？ 答案：喂乘儿子吃了没有 
嫦娥为什么后悔上广寒宫？ 答案：因为月亮上没有赛月饼 
人在做哪一件事的时候，最好能闭上眼睛？ 答案：死掉的时候省得吓人 
除了司机以外，还有谁可以每天搭公车而不必给钱？ 答案：售票员 
在机场办出境手续时，才想起忘了拿护照，怎么样才能在最短的时间里拿到护照呢？ 答案：打开皮包就可以拿到了 
对一个打算把头发留到腰部的人来说，最重要的一件事是什么？ 答案：晚上不要穿着白衣服出门 
为什么有人说：“情人眼里出西施”？ 答案：因为爱情使人盲目 
超人看到有人在银行抢劫，为什么不去阻止？ 答案：找不到电话亭 
什么地方物品售价愈高，客人愈高兴？ 答案：当铺 
车子应该靠右行使才对，为什么杨先生靠左行使却没事？ 答案：因为他正行驶在靠左行驶的国家 
老陈工作时一直闭着眼睛，从不睁开，他究竟是做什么工作的？ 答案：假装瞎子乞讨 
在没有停电、跳电的情况下，为什么吴先生按了开关电灯却没有亮？ 答案：他接的是电视开关当然不会亮了 
小呆一天写作文时，发现不会写“笨”字，于是他查字典，但是却查不到这个字，为什么？ 答案：她笨的去拿英文字典去查了 
安妮的医师男友到外地出差一年，每两天会写一封情书给安妮，请问两个月之后，安妮会收到几封情书？ 答案：一封也没有,有,但他太懒了,一封也没有寄. 
阿三死了，为什么大毛理直气壮的说：“凶手不是我，绝对另有其人！” 答案：因为阿三是电视推理剧场中的 
一名国中女生上了传说中闹鬼的厕所后，为什么昏倒在厕所里面？ 答案：他忘了厕所门是带拉的推半天推不开晕过去了 
某人向枪靶射击了五发子弹，共得一百分，他射中了哪里？ 答案：只中一发正好一百 
甲跟乙打赌：“我可以咬到自己的右眼。”乙不信，甲把假的右眼拿下来放在嘴里咬了五下。甲又说：“我还可以咬到自己的左眼。”乙仍然不信，结果，甲又赢了，他是怎么做到的？ 答案：他把假牙拿下来咬左眼 
大多数人是用左手端碗，右手吃饭，对吧？ 答案：那要嘴巴干什么 
不见棺材不掉泪”可以拿来形容一个顽固，你知道什么人是“见了棺材仍然不掉泪”的死硬派吗？ 答案：当然是死人了 
老吴每天抽两包烟，他老婆逼他减少一半的量，于是老吴把一天分成两段时间，用过去相同的间隔速度抽烟，事实上，老吴的烟量却一根也没减少这是为什么？ 答案：他的划分是以清醒与睡觉为均等于没少 
老李站在马路上比手划脚，却不见警察来赶他，为什么？ 答案：老李是警察 
一只青蛙掉进三十公尺深的枯井，如果它每次能跳二公尺高，它需要跳几次才能跳出井口呢？ 答案：那么深的枯井他早就摔死了 
三国美男子周瑜，为什么会感慨的说：“既生瑜，何生亮”呢？ 答案：因为诸葛亮长的比周瑜帅 
一向最爱吃蛋糕的大宝，今天为什么连面前那14小块蛋糕都吃不下呢？ 答案：因为他刚刚吃完那3/4 
为什么阿发悄悄对臭皮说他裤子的拉链忘了拉，臭皮却不以为意？ 答案：因为阿发说的是自己 
一个失恋的年轻男子从两层楼高的天桥往下跳，结果却毫发无伤，这是怎么回事？ 答案：因为他是演员正在拍电影 
妈妈明明在叫大宝，但出来的竟是小宝，为什么？ 答案：大宝不在 
什么东西越擦越小？ 答案：橡皮擦 
萝卜喝醉了，会变成什么？ 答案：红萝卜 
一加一等于多少？ 答案：不三不四 
煮一个蛋要四分钟，煮八个蛋要几分钟？ 答案：四分钟 
什么东西不怕布，只怕石头？ 答案：剪刀. 
大象为什么会有那么长的鼻子？ 答案：他爱说谎 
一头牛一年吃三公顷的牧草，现有面积三十公顷的牧场养了五头牛，请问需要多久才能全部吃完？ 答案：春风吹又生他们一辈子也吃不完 
他竟然可以向后走而向前进，这是怎么一回事呢？ 答案：搭车里向着与车行驶方向相反行走 
大气的流动叫“气流”；河水的流动叫“水流”；那风的流动呢？ 答案：风流 
从前的人结婚都要先查一查对方的三代，现在的人则查什么？ 答案：口袋 
印度政府规定，男性不得与他的寡妇之姐妹结婚，为什么？ 答案：既然有了寡妇表明本人已死了当然不能再娶了 
顺着往“基隆”的路标走，却跑到“桃园”去了，为什么？ 答案：台风刚过嘛,路标倒了 
明明是一个晴朗出太阳的好日子，却有人说：“等一下就要刮台风了！”为什么他会这么说？ 答案：因为现在正在台风眼里 
阿发仔的长相和家人很相象，但大家都说阿发仔不是他们的孩子，为什么？ 答案：因为他是爸爸 
出去的时候光着身子，回到家才穿上衣服的是什么？ 答案：衣架 
在平衡的跷跷板两边各放一个西瓜和冰块，重量相等，如果就这样放着，最后，跷跷板会向哪个方向倾斜？ 答案：一样水平冰化了西瓜滚了 
什么地方只要进去一个人就客满？ 答案：厕所 
为什么会有人见死不救？ 答案：死都死了还救什么 
报纸上登的消息未必都是真的但是什么消息绝对假不了？ 答案：日期 
电梯中挤满了人，上升不久后突然下坠，为什么没人受伤？ 答案：全部死亡 
有名偷车贼，某天四下无人时，看到一辆凯迪拉克，他却不动手，为什么？ 答案：车是他的 
要形容女孩子好看，说什么话她最高兴？ 答案：谎话 
有一个瞎子快走到悬崖边时，突然转头往回走，为什么？ 答案：因为他只瞎了一只眼 
每天早上从东方升起，西方落下，猜一种五个字的东西？？ 答案：是是是太阳(有点儿口吃). 
有个男子住在十三楼，他每天出门必搭电梯到一楼，但回来时只搭到四楼，然后再爬楼上去，为什么 答案：他个子太矮按不到按钮 
曹兰在马路边拦下一辆计程车，当她坐进车中后立刻被司机赶出来，为什么？ 答案：因为司机问他去那儿她说不告诉你. 
牛小时侯叫“犊”那兔子、乌龟小时侯应如何称呼？ 答案：兔崽子龟儿子 
小陈半夜吃泡面，为什么一面吃，一面眼盯着表？ 答案：那包面的食用期到今天 
为什么老陈会说他少了女人一天也活不下去？ 答案：他是化妆品制造商 
我伯父的弟媳，但不是我的叔母，那她是谁？ 答案：我母亲 
我有九个苹果，却必须分给十三个小朋友，我该怎么办？ 答案：榨果汁 
报纸新闻和电视新闻最大的不同在哪里？ 答案：报纸看完了可以保存. 
有架飞机失事，现场支离破碎，令人惊讶的是找不到任何伤着，为什么？ 答案：那是一架遥控飞机 
老张不小心吞了一枚金币，为什么到十年后才去手术取出来呢？ 答案：因为当时不急着用钱 
天黑一次亮一次就是一天，可有一次天黑了两次仍然只过了一天，你俩猜得到是什么原因吗？ 答案：碰上日全食了 
有一个人发高烧50度，他这时该找谁帮忙？ 答案：消防队 
为什么一瓶标明剧毒的药对人却无害？ 答案：除非你喝了它 
小明在图画课是交了一张全部涂黑的图画为什么老师还是算及格？ 答案：因为小明画的是一个黑人在半夜里抓乌鸦 
怀孕的母狗怕人踢它，可是有个家伙踢它，它既不躲避也不生气，为什么？ 答案：因为那家伙在他的肚子里踢 
一人一点是什么字？ 答案：太 
山岗上有三只狐狸，猎人开枪打死了一只，问山岗上还有几只狐狸？ 答案：一只 
小华和小涵约好中午12点钟在学校吃饭，小华看了表后，匆匆去找小涵。见面后，小涵对小华说：“你相信9+4=1吗？”小华听后脸红了，为什么？ 答案：九点钟加四点钟是一点钟 
一只羊碰到一头老虎，非但不怕，而且还把那头老虎给吃了，这是怎么回事？ 答案：那是只纸考虎 
人们心中最热烈，最难以满足的激情之一是什么？ 答案：好奇心 
地球自转一圈要24小时，自转半圈要多少小时？ 答案：6小时 
小明和小涵各买了三束花，他们把花捆在一起，准备送给老师，那么老师收到几束花？ 答案：事束 
一个人请人画十二生肖像最后只剩下蛇没画是，画师怎么也不肯画了，为什么？ 答案：因为他怕画蛇添足 
亮亮开着车跟在一辆敞蓬车后面，那车却没有司机，为什么？ 答案：车已坏靠前面的车拖着走. 
幼儿园的老师拿出一包糖，准备分给小朋友们吃，如果一人分一块，便多出一块，一人分两块，又欠两块，究竟最少有几个小朋友？几块糖？ 答案：三个小朋友四块糖 
明买了一兜水果，回到家了却两手空空，他保证没有偷吃，也没有弄丢，那是什么原因呢？ 答案：送人了 
除了动物园和非洲可以看到长颈鹿外，还有哪些地方看得到？ 答案：考场 
大勇向小伙伴们吹嘘说：今天上课的时候，老师提了一个问题，全班除了他没有一个答对，你猜老师问的是什么问题？ 答案：说:"大勇你为什么又迟到了?" 
三支点燃的蜡烛搁在纸盒上，一阵风吹来，吹熄了一支，其余两支继续燃烧，最后会剩下几支蜡烛呢？ 答案：一支也不剩 
大勇不慎掉到水缸里去了，当时周围没有大人，小朋友们急得团团转，怎样才能用最快的方法把大勇救出来？ 答案：把缸打破 
大勇说他和学校的老师很熟，在学校里哪里都能进去，但小涵偏说他有一处地方永远也不能进去，是什么地方呢？ 答案：女厕所 
一只皮球和一只铁球从高楼上掉下来，谁先落地？ 答案：铁球 
星期二过去是星期三，星期三过去是星期四，星期四过去却是星期天，为什么 答案：多撕了两张日历 
有个胖子上了公共汽车，没有月票，也没有买票，售票员为什么让他从起点坐到终点？ 答案：是个司机 
小明5岁，小亮3岁，小涵比他们俩各相差一岁，那么小涵有几岁？ 答案：四岁 
涵捉到一只小鸟，她把小鸟放在桌子上，小鸟却没有飞，是什么原因？ 答案：鸟已死 
大勇总爱吹牛，他说他能不用任何容器将一杯水带走，小朋友都不相信，但他却做到了，是怎么回事呢？ 答案：将杯子倒扣在装满水的盆子里 
在做游戏是，你是司令，你手下有两名军长，五名团长，十个排长和二十五名士兵，那么他们的司令今年几岁了？ 答案：你几岁就是几岁 
小涵的妈妈熨烫衣服，一件衣服要五分钟，一条裤子要三分钟，现在有三件小衣服，一条裤子，小涵的妈妈要几分钟才能全部熨烫完？ 答案：18分钟 
猫和猪有何区别？ 答案：一种是宠物一种是食物 
一场大雨，忙着耕种的农人纷纷走避，却仍有一人不走，为什么？ 答案：它是稻草人 
墙壁上爬着三只壁虎，一只壁虎掉下后没多久，另外两只也跟着掉下来，到底发生什么事情？ 答案：因为一只在打瞌睡,另两只拍手叫好,也掉下来了, 
某岛上有只乌龟，正中央是棵椰子树，岛的旁边还有一座岛，乌龟想过去，但又不太会游水，请问它该怎么过？ 答案：他还在想 
公车来了，一位穿长裙的小姐投了8块钱，司机让她上车，第二位穿迷你裙的小姐投了4块钱，司机也让她上车，第三位小姐没投钱，司机还是让她上车，为什么？ 答案：她用车票 
为什么空军的阿兵哥比较少？ 答案：空军嘛当然比较少啦 
武士刀和日本人有什么关系？ 答案：他们是剖腹之交 
餐厅里，有两对母女在用餐，每人各叫一个700元的牛排，付帐是却只付2100元，为什么？ 答案：这两对母女是奶奶妈妈女儿, 
阿美念T大哲学系，她每天早上都挤八点的公车去上学，今天她挤上车后恰好有一空位，阿美坐上去后不知不觉地就睡着了，突然一觉醒来，发现全车除了她空无一人，但车子还在前进，为什么？ 答案：车子抛锚了司机和乘客都在下面推车 
走进一家店，看见老板和客人正在议价，老板拼命杀价，而顾客却一直抬高价钱，为什么？ 答案：因为客人来卖车 
某人买了易开罐农药，打算自杀，他的情人也要求同归与尽，但农药份量必须一整罐才会毙命，结果两个人都死了，为什么？ 答案：打开农药罐已坏再拿一罐 
什么样的食物最让人倒胃口？ 答案：吃了大半个苹果里边藏着半条虫子 
小陈礼拜天早上赶到西门町去看早场电影，到了西门町，却看不到半个人，为什么 答案：人有好多个就是没有半个. 
有一个婴儿喝了牛奶之后，一星期重了十公斤，为什么？ 答案：那是一头牛 
小明带一百元去买一个七十五元的东西，但老板却只找了五块钱给他，为什么？ 答案：小明只拿元给老板 
为什么李爷爷被歹徒抢走了十万元之后，不但不心疼，反而哈哈大笑？ 答案：因为那名歹徒是他上幼儿园的孙子扮演的 
“失败为成功之母”，那成功为失败的什么？ 答案：反义词 
有一个胖子和瘦子走在一起，胖子突然被掉落的高压电线打倒，胖子死了，而瘦子并未碰到胖子或电线，可是他也死了，为什么？ 答案：瘦子被油炸死了 
某人有喝一打高粱的酒量，但今晚他只喝了半瓶啤酒就醉了，为什么？ 答案：他不久前才刚喝了一打高梁 
什么时候会看到最多的星星？ 答案：踩到地雷 
恐龙为什么会灭亡？ 答案：那个时候没有动物保护协会 
